"","Size","species"
"233","100","Coregonus clupeaformis"
"236","210","Coryphaena hippurus"
"237","45","Coryphaenoides carapinus"
"238","110","Coryphaenoides rupestris"
"239","30","Cottunculus microps"
"240","20.4766666094462","Cottunculus thompsoni"
"241","43","Cottunculus thomsonii"
"243","7.44999980926513","Crangon septemspinosa"
"244","1.8","Crenella faba"
"245","30","Crossaster papposus"
"246","97","Cryptacanthodes maculatus"
"247","7.30000019073486","Cryptopsaras couesii"
"248","7","Ctenodiscus crispatus"
"249","107","Cubiceps gracilis"
"250","20","Cubiceps pauciradiatus"
"251","50","Cucumaria frondosa"
"252","1.23","Cuspidaria"
"253","228.6","Cyanea capillata"
"254","1.43333333333333","Cyclocardia borealis"
"255","61","Cyclopterus lumpus"
"259","11","Cyrtodaria siliqua"
"260","260","Cystophora cristata"
"261","31","Cyttopsis rosea"
"262","550","Delphinapterus leucas"
"263","260","Delphinus capensis"
"264","260","Delphinus delphis"
"265","9.47777781486511","Dendronotus"
"266","40","Derichthys serpentinus"
"267","266.666666666667","Desmarestia aculeata"
"268","39.4000015258789","Dibranchus atlanticus"
"269","7","Dichelopandalus leptocerus"
"270","35","Dicrolene introniger"
"271","20","Diplopteraster multipes"
"272","163","Dipturus laevis"
"273","118.799999795309","Dipturus linteus"
"274","1.2","Doridoxa ingolfiana"
"275","8","Drifa glomerata"
"276","11","Duva florida"
"277","5.2","Echinarachnius parma"
"278","17.6","Echinus"
"279","11.1999998092651","Echiodon dawsoni"
"280","18","Ectreposebastes imus"
"285","41","Enchelyopus cimbrius"
"286","26","Ensis directus"
"287","18.51","Ensis leei"
"288","19.9690624475479","Epigonus"
"289","2","Epimeria loricata"
"290","2","Epizoanthus erdmanni"
"291","2","Epizoanthus incrustatus"
"292","250","Erignathus barbatus"
"293","1500","Eschrichtius robustus"
"294","75","Etmopterus princeps"
"295","13","Etropus microstomus"
"296","5","Eualus fabricii"
"297","10","Eualus gaimardii"
"298","7","Eualus macilentus"
"299","1800","Eubalaena glacialis"
"300","2.55","Eudistoma vitreum"
"302","22","Eumesogrammus praecisus"
"303","10","Eumicrotremus derjugini"
"304","13.1999998092651","Eumicrotremus spinosus"
"305","1.85666666666667","Euphausia"
"306","100","Eurypharynx pelecanoides"
"307","1.37","Eusergestes arcticus"
"308","2.5","Eusirus cuspidatus"
"309","11.8999996185303","Evermannella indica"
"314","260","Feresa attenuata"
"315","2","Flabellum"
"316","12","Flustra foliacea"
"317","20.7166665395101","Foetorepus agassizi"
"318","30","Fratercula arctica"
"319","70","Fucus distichus"
"320","70","Fucus vesiculosus"
"322","51","Fulmarus glacialis"
"323","210","Funiculina quadrangularis"
"324","200","Gadus morhua"
"325","115","Gadus ogac"
"326","35.5916665395101","Gaidropsarus"
"329","7.22166665395101","Gasterosteus aculeatus aculeatus"
"332","4","Gennadas"
"333","10","Gersemia fruticosa"
"334","10","Gersemia rubiformis"
"335","610","Globicephala macrorhynchus"
"336","670","Globicephala melas"
"337","15","Glycera capitata"
"338","60","Glyptocephalus cynoglossus"
"339","7","Gnathophausia"
"340","38.5","Gonatus fabricii"
"341","15","Gonatus steenstrupi"
"342","7.6","Gonostomatidae"
"343","76","Gorgonocephalus"
"344","15.8999996185303","Grammatostomias dentatus"
"345","64","Grammicolepis brachiusculus"
"346","380","Grampus griseus"
"347","56","Gymnelus viridis"
"348","30","Gymnocanthus tricuspis"
"350","56","Halargyreus johnsonii"
"351","100","Haliaeetus leucocephalus"
"352","230","Halichoerus grypus"
"353","60","Halichondria panicea"
"354","10","Halieutichthys aculeatus"
"355","40","Halipteris finmarchica"
"356","90","Halosauropsis macrochir"
"357","60","Halosaurus guentheri"
"358","5","Hamingia arctica"
"359","120","Harriotta raleighana"
"360","50","Helicolenus dactylopterus"
"361","6","Heliometra glacialis"
"362","22.3","Hemithiris psittacea"
"363","64","Hemitripterus americanus"
"364","17.5","Henricia"
"365","2","Heteropolypus"
"366","5","Hiatella arctica"
"368","34","Hippasteria phrygiana"
"369","19","Hippocampus erectus"
"370","41","Hippoglossina oblonga"
"371","82.5999984741211","Hippoglossoides platessoides"
"372","470","Hippoglossus hippoglossus"
"373","20","Histioteuthis reversa"
"374","46","Histrionicus histrionicus"
"375","25","Holtbyrnia anomala"
"376","114","Homarus americanus"
"377","1.47","Homola minima"
"378","75","Hoplostethus atlanticus"
"379","10","Hormathia nodosa"
"380","7.90000009536743","Howella brodiei"
"381","8","Howella sherborni"
"382","16.2","Hyalinoecia tubicola"
"383","8.6","Hyas araneus"
"384","6.1","Hyas coarctatus"
"385","17","Hydrobates pelagicus"
"386","130","Hydrolagus affinis"
"387","9","Hymenopenaeus debilis"
"388","1.2","Hyperia galba"
"389","91","Hyperoglyphe perciformis"
"390","850","Hyperoodon (Hyperoodon) ampullatus"
"391","980","Hyperoodon ampullatus"
"392","15.8085714748928","Icelus"
"393","1.7","Ichnopus"
"394","0.4","Idotea"
"395","27","Illex illecebrosus"
"396","58","Ilyophis brunneus"
"397","445","Isurus oxyrinchus"
"399","300","Kajikia albida"
"400","0.1","Keratoisis ornata"
"401","340","Kogia breviceps"
"402","270","Kogia sima"
"403","33","Laemonema barbatulum"
"404","270","Lagenodelphis hosei"
"405","280","Lagenorhynchus acutus"
"406","320","Lagenorhynchus albirostris"
"407","150","Laminaria digitata"
"408","150","Laminaria longicruris"
"409","350","Lamna nasus"
"410","11.751621723175","Lampanyctus"
"411","52.2","Larus"
"412","66","Larus argentatus"
"413","43","Larus atricilla"
"414","46","Larus canus"
"415","53","Larus delawarensis"
"416","61","Larus fuscus"
"417","64","Larus glaucoides"
"418","52.2","Larus glaucoides glaucoides"
"419","77","Larus hyperboreus"
"420","79","Larus marinus"
"421","52.2","Larus minutus"
"422","36","Larus philadelphia"
"423","38","Larus pipixcan"
"424","52.2","Larus tridactyla"
"425","5","Leathesia difformis"
"426","5","Lebbeus groenlandicus"
"427","5","Lebbeus microceros"
"428","5","Lebbeus polaris"
"429","5","Lebbeus zebra"
"430","85","Lepidion schmidti"
"431","27","Lepophidium profundorum"
"432","21","Leptagonus decagonus"
"433","7.5","Leptasterias"
"434","20","Leptoclinus maculatus"
"435","10","Leptychaster arcticus"
"436","54","Leucoraja erinacea"
