"","Size","species"
"651","28","Limnodromus griseus"
"661","29","Limnodromus scolopaceus"
"677","46","Limosa fedoa"
"6810","39","Limosa haemastica"
"6910","41","Limosa lapponica"
"706","42","Limosa limosa"
"71","86","Lontra canadensis"
"7210","46","Lophodytes cucullatus"
"731","33","Megaceryle alcyon"
"7410","48","Melanitta nigra"
"756","64","Mergus merganser"
"7610","58","Mergus serrator"
"7710","102","Mycteria americana"
"78","56","Numenius arquata"
"7910","36","Numenius borealis"
"8010","44","Numenius phaeopus"
"8110","61","Nyctanassa violacea"
"829","64","Nycticorax nycticorax"
"831","38","Oxyura jamaicensis"
"848","58","Pandion haliaetus"
"857","22","Phalaropus fulicaria"
"867","22","Phalaropus fulicarius"
"871","20","Phalaropus lobatus"
"881","23","Phalaropus tricolor"
"891","28","Philomachus pugnax"
"901",NA,"Pinguinus impennis"
"911","58","Plegadis falcinellus"
"921","33","Podilymbus podiceps"
"931","33","Porphyrula martinica"
"941","22","Porzana carolina"
"951","38","Rallus elegans"
"961","24","Rallus limicola"
"971","37","Rallus longirostris"
"981","46","Recurvirostra americana"
"991","43","Rissa tridactyla"
"1001","28","Scolopax minor"
"1011","35","Scolopax rusticola"
"1021","61","Somateria mollissima"
"103","56","Somateria spectabilis"
"104","32","Tringa erythropus"
"105","27","Tringa flavipes"
"106","36","Tringa melanoleuca"
"107","33","Tringa nebularia"
"108","22","Tringa solitaria"
"1091","26","Tringa totanus"
"1101","21","Tryngites subruficollis"
"1111","32","Vanellus vanellus"
"1121","34","Xema sabini"
