,sessile,crawler,swimmer,burrower,mobile,Comment
Gonatus steenstrupi,0,0,0,0,1,
Gorgonocephalus,0,1,0,0,0,
Gymnelis viridis,0,0,0,0,1,
Henricia,0,1,0,0,0,
Heteropolypus,1,0,0,0,0,
Histioteuthis reversa,0,0,0,0,1,
Homola minima,0,1,0,0,0,
Hyalinoecia tubicola,0,1,0,0,0,
Icelus,0,0,0,0,1,
Ichnopus,0,0,1,0,0,
Idotea,0,0,1,1,0,
Keratoisis ornata,1,0,0,0,0,
Laminaria digitata,1,0,0,0,0,
Laminaria longicruris,1,0,0,0,0,
Leathesia difformis,1,0,0,0,0,
Lebbeus zebra,0,0,1,0,0,
Leptasterias,0,1,0,0,0,
Limacina,0,0,0,0,1,
Liopsetta putnami,0,0,0,0,1,
Loligo pealeii,0,0,0,0,1,
Lophaster furcifer,0,1,0,0,0,
Lophelia pertusa,1,0,0,0,0,
Lumpenus lumpretaeformis,0,0,0,0,1,
Lumpenus maculatus,0,0,0,0,1,
Lumpenus medius,0,0,0,0,1,
Lycenchelys verrilli,0,0,0,0,1,
Lycodes esmarki,0,0,0,0,1,
Lycodes terraenova,0,0,0,0,1,
Macrorhamphosus scolopax,0,0,0,0,1,
Macrostomias longibarbatus,0,0,0,0,1,
Margarites,0,1,0,0,0,
Mastigoteuthis,0,0,0,0,1,
Mediaster bairdi,0,1,0,0,0,
Monstrilla,0,0,1,0,0,
Munida iris,0,0,1,0,0,
Musculus,1,0,0,0,0,
Mycteroperca,0,0,0,0,1,
Myoxocephalus,0,0,0,0,1,
Mytilus,1,0,0,0,0,
Neptunea,0,1,0,0,0,
Notolepis rissoi,0,0,0,0,1,
Nucula,1,0,0,0,0,
Nymphon,0,1,0,0,0,
Octopoteuthis,0,0,0,0,1,
Oithona spinirostris,0,0,1,0,0,
Ommastrephes,0,0,0,0,1,
Oncopagurus,0,0,1,0,0,
Oneirodes,0,0,0,0,1,
Ophelia,0,0,0,1,0,
Ophiacantha abyssicola,0,1,0,0,0,
Ophiomusa lymani,0,1,0,0,0,
Ophiura,0,1,0,0,0,
Oplophorus spinosus,0,0,1,0,0,
Ovalipes ocellatus,0,1,0,0,0,
Pachycerianthus borealis,1,0,0,0,0,
Pagurus,0,0,1,0,0,
Palmaria palmata,1,0,0,0,0,
Pandora gouldiana,1,0,0,0,0,
Paragorgia arborea,1,0,0,0,0,
Paralepis atlantica,0,0,0,0,1,
Paraliparis copei,0,0,0,0,1,
Parapasiphae sulcatifrons,0,0,1,0,0,
Parathemisto,0,0,1,0,0,
Pelagia noctiluca,0,0,0,0,1,
Pentamera calcigera,1,0,0,0,0,
Phronima,0,0,1,0,0,
Plutonaster agassizi,0,1,0,0,0,
Polycheles sculptus,0,0,0,0,0,to check
Pontaster,0,1,0,0,0,
Porania pulvillus,0,1,0,0,0,
Poraniomorpha,0,1,0,0,0,
Potamilla neglecta,1,0,0,0,0,
Primnoa resedaeformis,1,0,0,0,0,
Pseudoscopelus,0,0,0,0,1,
Pterygioteuthis,0,0,0,0,1,
Puffinus gravis,0,0,0,0,1,
Pycnogonum littorale,0,1,0,0,0,
Radicipes gracilis,1,0,0,0,0,
Raja bathyphila,0,0,0,0,1,
Raja garmani,0,0,0,0,1,
Rossia,0,0,0,0,1,
Saccorhiza dermatodea,1,0,0,0,0,
Sclerasterias tanneri,0,1,0,0,0,
Sebastes,0,0,0,0,1,
Sertularia polyzonias,1,0,0,0,0,
Siliqua,1,0,0,0,0,
Simenchelys parasitica,0,0,0,0,1,
Solemya borealis,1,0,0,0,0,
Spinolambrus pourtalesii,0,1,0,0,0,
Spirontocaris fabricii,0,0,1,0,0,
Stephanolepis hispidus,0,0,0,0,1,
Stereoderma unisemita,0,1,0,0,0,peristaltism
Stereomastis sculpta,0,0,1,0,0,
Stichaeus punctatus,0,0,0,0,1,
Strongylocentrotus,0,1,0,0,0,
Synagrops bella,0,0,0,0,1,
Synaphobranchus kaupi,0,0,0,0,1,
Tealia felina,1,0,0,0,0,
Teuthowenia megalops,0,0,0,0,1,
Thyonella pervicax,0,1,0,0,0,peristaltism
Thysanoessa raschii,0,0,1,0,0,
Triglops,0,0,0,0,1,
Ulva,1,0,0,0,0,
Urophycis chesteri,0,0,0,0,1,
Vazella pourtalesi,1,0,0,0,0,
Venericardia borealis,1,0,0,0,0,
Venus mercenaria,1,0,0,0,0,facultatively mobile
Vomer setapinnis,0,0,0,0,1,
Yoldia,1,0,0,0,0,facultatively mobile
Zenopsis ocellata,0,0,0,0,1,
Zostera marina,1,0,0,0,0,
