"","Size","species"
"62","64","Gaviidae"
"6310","44","Haematopus palliatus"
"641","36","Himantopus mexicanus"
"655","46","Hydrobatidae"
"665","33","Ixobrychus exilis"
"6710","28","Limnodromus griseus"
"681","29","Limnodromus scolopaceus"
"6910","46","Limosa fedoa"
"7010","39","Limosa haemastica"
"711","41","Limosa lapponica"
"72","42","Limosa limosa"
"735","86","Lontra canadensis"
"7410","46","Lophodytes cucullatus"
"7510","33","Megaceryle alcyon"
"761","48","Melanitta nigra"
"7710","64","Mergus merganser"
"7810","58","Mergus serrator"
"79","102","Mycteria americana"
"8010","56","Numenius arquata"
"8110","36","Numenius borealis"
"8210","44","Numenius phaeopus"
"835","61","Nyctanassa violacea"
"841","64","Nycticorax nycticorax"
"855","38","Oxyura jamaicensis"
"864","58","Pandion haliaetus"
"874","22","Phalaropus fulicaria"
"881","22","Phalaropus fulicarius"
"891","20","Phalaropus lobatus"
"901","23","Phalaropus tricolor"
"911","28","Philomachus pugnax"
"921","58","Plegadis falcinellus"
"931","33","Podilymbus podiceps"
"941","33","Porphyrula martinica"
"951","22","Porzana carolina"
"961","38","Rallus elegans"
"971","24","Rallus limicola"
"981","37","Rallus longirostris"
"991","46","Recurvirostra americana"
"1001","43","Rissa tridactyla"
"1011","28","Scolopax minor"
"1021","35","Scolopax rusticola"
"1031","61","Somateria mollissima"
"104","56","Somateria spectabilis"
"105","30","Sternidae"
"106","32","Tringa erythropus"
"107","27","Tringa flavipes"
"108","36","Tringa melanoleuca"
"109","33","Tringa nebularia"
"1101","22","Tringa solitaria"
"1111","26","Tringa totanus"
"1121","21","Tryngites subruficollis"
"1131","32","Vanellus vanellus"
"1141","34","Xema sabini"
