"","Size","species"
"233","100","Coregonus clupeaformis"
"236","210","Coryphaena hippurus"
"237","45","Coryphaenoides carapinus"
"238","110","Coryphaenoides rupestris"
"239","30","Cottunculus microps"
"240","20.4766666094462","Cottunculus thompsoni"
"241","43","Cottunculus thomsonii"
"243","7.44999980926513","Crangon septemspinosa"
"244","1.8","Crenella faba"
"245","30","Crossaster papposus"
"246","97","Cryptacanthodes maculatus"
"247","7.30000019073486","Cryptopsaras couesii"
"248","7","Ctenodiscus crispatus"
"249","107","Cubiceps gracilis"
"250","20","Cubiceps pauciradiatus"
"251","50","Cucumaria frondosa"
"252","1.23","Cuspidaria"
"253","228.6","Cyanea capillata"
"254","1.43333333333333","Cyclocardia borealis"
"255","61","Cyclopterus lumpus"
"259","11","Cyrtodaria siliqua"
"260","260","Cystophora cristata"
"261","31","Cyttopsis rosea"
"262","550","Delphinapterus leucas"
"263","260","Delphinus capensis"
"264","260","Delphinus delphis"
"265","9.47777781486511","Dendronotus"
"266","40","Derichthys serpentinus"
"267","266.666666666667","Desmarestia aculeata"
"268","39.4000015258789","Dibranchus atlanticus"
"269","7","Dichelopandalus leptocerus"
"270","35","Dicrolene introniger"
"271","20","Diplopteraster multipes"
"272","163","Dipturus laevis"
"273","118.799999795309","Dipturus linteus"
"274","1.2","Doridoxa ingolfiana"
"275","8","Drifa glomerata"
"276","11","Duva florida"
"277","5.2","Echinarachnius parma"
"278","17.6","Echinus"
"279","11.1999998092651","Echiodon dawsoni"
"280","18","Ectreposebastes imus"
"285","41","Enchelyopus cimbrius"
"286","26","Ensis directus"
"287","18.51","Ensis leei"
"288","19.9690624475479","Epigonus"
"289","2","Epimeria loricata"
"290","2","Epizoanthus erdmanni"
"291","2","Epizoanthus incrustatus"
"292","250","Erignathus barbatus"
"293","1500","Eschrichtius robustus"
"294","75","Etmopterus princeps"
"295","13","Etropus microstomus"
"296","5","Eualus fabricii"
"297","10","Eualus gaimardii"
"298","7","Eualus macilentus"
"299","1800","Eubalaena glacialis"
"300","2.55","Eudistoma vitreum"
"302","22","Eumesogrammus praecisus"
"303","10","Eumicrotremus derjugini"
"304","13.1999998092651","Eumicrotremus spinosus"
"305","1.85666666666667","Euphausia"
"306","100","Eurypharynx pelecanoides"
"307","1.37","Eusergestes arcticus"
"308","2.5","Eusirus cuspidatus"
"309","11.8999996185303","Evermannella indica"
"314","260","Feresa attenuata"
"315","2","Flabellum"
"316","12","Flustra foliacea"
"317","20.7166665395101","Foetorepus agassizi"
"318","30","Fratercula arctica"
"319","70","Fucus distichus"
"320","70","Fucus vesiculosus"
"322","51","Fulmarus glacialis"
"323","210","Funiculina quadrangularis"
"324","200","Gadus morhua"
"325","115","Gadus ogac"
"326","35.5916665395101","Gaidropsarus"
"329","7.22166665395101","Gasterosteus aculeatus aculeatus"
"333","4","Gennadas"
"334","10","Gersemia fruticosa"
"335","10","Gersemia rubiformis"
"336","610","Globicephala macrorhynchus"
"337","670","Globicephala melas"
"338","15","Glycera capitata"
"339","60","Glyptocephalus cynoglossus"
"340","7","Gnathophausia"
"341","38.5","Gonatus fabricii"
"342","15","Gonatus steenstrupi"
"343","7.6","Gonostomatidae"
"344","76","Gorgonocephalus"
"345","15.8999996185303","Grammatostomias dentatus"
"346","64","Grammicolepis brachiusculus"
"347","380","Grampus griseus"
"348","56","Gymnelus viridis"
"349","30","Gymnocanthus tricuspis"
"351","56","Halargyreus johnsonii"
"352","100","Haliaeetus leucocephalus"
"353","230","Halichoerus grypus"
"354","60","Halichondria panicea"
"355","10","Halieutichthys aculeatus"
"356","40","Halipteris finmarchica"
"357","90","Halosauropsis macrochir"
"358","60","Halosaurus guentheri"
"359","5","Hamingia arctica"
"360","120","Harriotta raleighana"
"361","50","Helicolenus dactylopterus"
"362","6","Heliometra glacialis"
"363","22.3","Hemithiris psittacea"
"364","64","Hemitripterus americanus"
"365","17.5","Henricia"
"366","2","Heteropolypus"
"367","5","Hiatella arctica"
"369","34","Hippasteria phrygiana"
"370","19","Hippocampus erectus"
"371","41","Hippoglossina oblonga"
"372","82.5999984741211","Hippoglossoides platessoides"
"373","470","Hippoglossus hippoglossus"
"374","20","Histioteuthis reversa"
"375","46","Histrionicus histrionicus"
"376","25","Holtbyrnia anomala"
"377","114","Homarus americanus"
"378","1.47","Homola minima"
"379","75","Hoplostethus atlanticus"
"380","10","Hormathia nodosa"
"381","7.90000009536743","Howella brodiei"
"382","8","Howella sherborni"
"383","16.2","Hyalinoecia tubicola"
"384","8.6","Hyas araneus"
"385","6.1","Hyas coarctatus"
"386","17","Hydrobates pelagicus"
"388","130","Hydrolagus affinis"
"389","9","Hymenopenaeus debilis"
"390","1.2","Hyperia galba"
"391","91","Hyperoglyphe perciformis"
"392","850","Hyperoodon (Hyperoodon) ampullatus"
"393","980","Hyperoodon ampullatus"
"394","15.8085714748928","Icelus"
"395","1.7","Ichnopus"
"396","0.4","Idotea"
"397","27","Illex illecebrosus"
"398","58","Ilyophis brunneus"
"399","445","Isurus oxyrinchus"
"401","300","Kajikia albida"
"402","0.1","Keratoisis ornata"
"403","340","Kogia breviceps"
"404","270","Kogia sima"
"405","33","Laemonema barbatulum"
"406","270","Lagenodelphis hosei"
"407","280","Lagenorhynchus acutus"
"408","320","Lagenorhynchus albirostris"
"409","150","Laminaria digitata"
"410","150","Laminaria longicruris"
"411","350","Lamna nasus"
"412","11.751621723175","Lampanyctus"
"413","52.2","Larus"
"414","66","Larus argentatus"
"415","43","Larus atricilla"
"416","46","Larus canus"
"417","53","Larus delawarensis"
"418","61","Larus fuscus"
"419","64","Larus glaucoides"
"420","52.2","Larus glaucoides glaucoides"
"421","77","Larus hyperboreus"
"422","79","Larus marinus"
"423","52.2","Larus minutus"
"424","36","Larus philadelphia"
"425","38","Larus pipixcan"
"426","52.2","Larus tridactyla"
"427","5","Leathesia difformis"
"428","5","Lebbeus groenlandicus"
"429","5","Lebbeus microceros"
"430","5","Lebbeus polaris"
"431","5","Lebbeus zebra"
"432","85","Lepidion schmidti"
"433","27","Lepophidium profundorum"
"434","21","Leptagonus decagonus"
"435","7.5","Leptasterias"
"436","20","Leptoclinus maculatus"
"437","10","Leptychaster arcticus"
"438","54","Leucoraja erinacea"
